,sentence,category_targets
0,При этом всегда получал качественные услуги.,0
3,Отвратительное отношение к клиентам.,0
4,"Всегда в любое время дня и ночи помогут, ответят, решат.",0
5,"Все время согласовывалось, всё делалось быстро.",0
6,Абсолютное бездействие и нежелание банка работать с клиентами.,2
8,"Ну почему я опять должен звонить и платить деньги за музыку плохого качества, которая мне не нужна?",0
9,"Получив карту ""Кредит в кармане"" и две бесплатных карты ""Банк в кармане"" был доволен.",0
10,"Хотим выразить огромную благодарность Екатерине В-вой, кредитному специалисту Альфа-банка за понимание, высокопрофессиональный подход и оперативную работу в сфере кредитования юридических лиц.",0
11,"Пользовался картой за границей - включая слипы, безотказно.",2
12,Впечатления были только хорошие и с каждым годом становились только лучше.,0
13,"Да и в целом более чем доволен банком: удивлен, что никогда не хамили по телефону (поклон Ситибанку); не достают рекламой (поклон Ситибанку); не обманывают по условиям (поклон Ситибанку) и много прочих ""не"".",0
16,"Говорят, что вы можете опротестовать операции, но я говорю, что операций таких нет в выписке, деньги просто пропали с баланса и стал ноль.",0
17,"Но к сожалению в банке отказали и не приняли документы, на что сказали:""Мы не можем вам дать официальный отказ, но принять документы тоже не можем, так как нет внутреннего распоряжения, когда будет неизвестно"".",0
18,"Тинькофф, вам настолько плевать на ваших потенциальных клиентов?",0
19,"Моя заблокированная карта была украдена, почему я пишу заявление на отключение, а мне подключают услуги к заблокированной карте???",0
23,"Всем, кто еще не передумал стать клиентом этого банка, рекомендую в нем себя вести тихо, не делать резких движений и не доставать мобильный телефон, а главное - не мешать работникам жить своей жизнью.",2
25,"На мой вопрос, могу ли я получить в любом другом отделении кредит, мне сказали, что это возможно ТОЛЬКО в офисе на Кожевнической 14, причем именно там меня ждёт ультранизкая процентная ставка и отличные условия.",2
26,"Работники компетентны в своей работе, с желанием помогают по любым вопросам.",2
28,Очень разочаровалась в обслуживании.,2
29,В 10.58 со мной уже здоровался крайне представительный мужчина в хорошем костюме.,0
30,"РФ, всегда довольна была обслуживанием.",2
31,"110 дней без процентов звучит неплохо, тем более все заполняется онлайн без походов в отделение и карту должен доставить курьер.",2
32,"Начну с того, что я пользовался и пользуюсь услугами многих известных банков, но ВТБ выделил для себя, и когда пришло время заняться бизнесом я выбрал именно ВТБ для открытия счёта, так как у него самый удобный банкинг и лучший прайс по ведению расчётного счёта.",3
32,"Начну с того, что я пользовался и пользуюсь услугами многих известных банков, но ВТБ выделил для себя, и когда пришло время заняться бизнесом я выбрал именно ВТБ для открытия счёта, так как у него самый удобный банкинг и лучший прайс по ведению расчётного счёта.",2
33,"По московскому телефону вообще отказываются как то комментировать ложную информацию в личном кабинете на сайте, разговаривают на очень повышенных тонах и с большой претензией, как будто я им что-то должна!",0
35,"В отделение на Павелецкой девушка сообщила, что карту РЖД Бонус Классическая НЕЛЬЗЯ открыть как основную, можно открыть только как дополнительную и она будет в любом случае платная, независимо от того, совершу я оборот более 15 000 рублей или нет.",0
37,"Муж - умер, в страховке отказали, и ещё с дипозита удержал 90000₽!",3
38,"На мою просьбу самостоятельно посмотреть / обзвонить / расспросить наличие моментальных карт - смотрят на меня как на дурака и на лице отчетливо читается фраза - ""Ты что, дурак?",0
39,"Человек должен потерять 40 минут ожидания в очереди, чтобы уйти ни с чем???",2
40,"Обращался по вопросу с ипотекой в июле 2020 года, вопрос решился быстро и качественно.",2
41,Я этим сотрудникам 5 поставила бы (оформили в с. Ермекеево).,2
43,И вот у меня вопрос к представителю банка почему такое плохое отношение к своим клиентам ведь вы существуйте за счет своих клиентов и почему руководству данного отделения все безразлично работают или не работают банкоматы главно время идет и зарплата.,0
45,"Это уже прямой обман клиентов и мошенничество, господа банкиры.",2
46,Добрый день.04.08.2015 в 19:41:55 я зарегистрировался в очереди под №069 в доп.офисе на ст.м.,0
47,В банкомате просто физически невозможно купить или перевести себе 1 цент.,2
50,"По факту я разочарован тем, что к клиентам премиум сегмента отношение абсолютно такое же, как и к обычным клиентам (я не к тому, что считаю себя выше других, а к тому что нельзя применять одни и те же алгоритмы работы к клиентам всех сегментам, должен быть индивидуальный подход).",2
51,МКБ среагировал очень чётко (всё правильно!,2
52,"Программы по ипотеке - это не просто реклама, это действительно работающие программы.",2
55,"Сотрудники, отвечающие на вопросы в чате абсолютно не компетентные ребята.",0
56,"С наступающими праздниками, Восточный банк.",0
57,"Банк не рекомендую, в случае возникновения конфликтных ситуаций найти и привлечь ответственных крайне сложно.",2
60,"Еще сказали, что в ноябре 2015 г. специалист неправильно рассчитала сумму и я банку должен 8000 руб. Начался такой бред.",2
61,"Постоянно по 100 раз переключают с одного на другого сотрудника, и кормят завтраками.",0
62,"Несмотря на многие отзывы о задержках Росреестра и других проблемах электронной регистрации, все прошло гладко (электронная выписка из ЕГРН пришла уже на 3й рабочий день, и уже через 4 рабочих дня у меня на руках были ключи).",2
65,"Для сравнения - в Тинькофф банке можно через приложение позвонить сотрудникам и в течении нескольких минут уладить данные вопросы, тут же 4 часа и вопрос остался открытым!",0
66,В итоге эта красотка так и ушла!!!,0
68,"Дело даже не в суммарном ожидании, а во лжи.",0
69,Никаких предложений по ускорению процесса поступления денег предложено не было!!!,0
70,"Жаловаться некому, НЕТ ПРОФЕССИОНАЛОВ!",0
72,"Работать никто не хочет, никто ни за что не хочет отвечать.",2
74,"Вы тоже ненавидите компании, которые любят тянуть время и ненавидят своих клиентов?",0
76,Все остальные функции прекрасно работают.,2
78,Ответ консультанта вообще ничего общего с моим вопросом не имеет.,0
80,"Ни одного извинения в свой адрес за такую работу я не услышала только надменность и сами виноваты (зачем сюда пришли), кассиры вообще отельный разговор в этом офисе.",2
81,Специалист с приятным голосом Татьяна по звонку быстро активировала мне карту.,0
85,"При оформлении кредита все сотрудники были очень доброжелательны, улыбались, всё готовы были сделать только возьмите кредит.",0
86,"Точка идеально походит для таких «чайников» как я. Удобный и понятный интерфейс, сотрудники на связи 24 на 7, четко и быстро отвечают на все вопросы.",2
86,"Точка идеально походит для таких «чайников» как я. Удобный и понятный интерфейс, сотрудники на связи 24 на 7, четко и быстро отвечают на все вопросы.",0
87,Офигеть как здорово и безопасно!,4
89,При этом деньги списываются в день запроса на погашение.5.,2
90,(отношение к клиенту просто ужас и такие как А. Б-ва не должны работать в принципе с клиентами.,0
94,"А Сбербанку, видимо, надо побольше таких компетентных и не ленивых сотрудников, как Екатерина и Александра, которые могут ответить на любой вопрос, и сотрудничать с клиентом в любое время и по любой мелочи.",0
96,"И предложили пойти разбираться самостоятельно в банк, якобы я не могу закрыть эту карт без посещения отделения банка, которую я даже не получила и не подписывала никаких документов о ее получении.",2
97,"Вроде все замечательно, интерфейс туповат, но привыкнуть можно.",2
98,Сбербанк бессовестно использует средства граждан для обогащения!,2
99,Я не один раз попадала к ней во время посещения банка и всегда она очень добросовестно.,2
102,"Согласна с предыдущими отзывами , это не банк, а развод какой то!",2
103,"Я сталкивался с проблемами еще в 2009-ом году и хочу заметить, что и без того лояльное отношение к клиентам, стало на порядок более доброжелательным.",0
104,"Все хорошо, быстро заполнили необходимые данные, нам сказали подойти и получить наши карты через 4-5 рабочих дней.",2
105,"Была сделана дезинформация со стороны сотрудников Л-ой  А.  и  М-на А., которые  НЕ объяснили никаких деталей!!!",0
107,"Больше всего возмущает то обстоятельство, что даже невозможно выяснить имя этой заведующей.",0
108,"Я до сих пор не могу узнать, на каком основании у меня заблокированы карты!2.",0
109,"Я просто в шоке: неужели в Ренессанс кредит набирают таких сотрудников, или их скрипты специально таким образом разработаны, чтоб унизить и подавить человека?",0
