,Unnamed: 0,sentence,prob_?,prob_+,prob_-
0,0,"Очень неприятная ситуация, надеюсь, банк либо опубликует официальные правила в системе интернет-банкинга (перед платежом) о том, что банк ни за что не отвечает кроме списания денег со счёта, либо будет хотя бы помогать клиенту разбираться с компаниями-партнерами.",5.2715397e-05,2.347319e-05,0.9999238
1,1,За что выражаю благодарность и банку и данному сотруднику!,5.3600375e-05,0.9998745,7.193272e-05
2,2,"Вывод: информация полученная в смс от банка, информация указанная на сайте банка, информация полученная из телефонного разговора с представителем банка и даже информация полученная непосредственно в офисе (меня там тоже не предупредили, что ""надежный клиент"" должен иметь поручителя) банка является недостоверной, не соответствует действительности и вводит в заблуждение потенциальных клиентов банка.",4.999196e-05,2.3441646e-05,0.99992657
3,3,"Хочу по благодарить ее за чуткое отношение к нам, пожилым людям, за внимание и доброту.",4.6265213e-05,0.99989784,5.5943074e-05
4,4,"Показал, что я и вклад могу свой пополнять прямо в программе, и даже увеличить ставку по нему, просто заказав халву и расплачиваться с нее, как с зарплатной.",0.9994272,0.00030171938,0.00027112142
5,5,"И считала, что у меня хорошая кредитная история.",0.9994947,0.00034859497,0.00015666599
6,6,"Но нас он уверил, что это именно так, мы даже пересчитали что из этого выгоднее взять на всякий случай.",0.9992685,0.0005006,0.00023102111
7,7,Введите обучение для стажеров качественное!,8.718664e-05,3.0689975e-05,0.9998821
8,8,"Также каждый раз операторы отвечали, что сформировали письмо с пометкой ""СРОЧНО"" в отдел занимающийся снятием обременения, в копию ставили начальника и руководителя отдела и обещали, что со мной обязательно свяжутся.",0.38489172,0.00060574705,0.6145025
9,9,Хорошее предложение от Банка по поводу 13-й пенсии.,0.0016782472,0.99696547,0.0013562983
10,10,"И это очень большая проблема, так как очень часто деньги в срок не зачисляются, образуются просрочки, штрафы.",6.073951e-05,3.1271476e-05,0.999908
11,11,"Непонятно.. На мой вопрос ответа не было, да и на горячей линии сначала пытались отмазать сотрудника аргументируя тем, что: ""Это их дело навязать, ваше право отказаться"", как это вообще понимать?",4.5136974e-05,2.348978e-05,0.99993134
12,12,"Специалист Александр всегда на связи, если потребуется техническая помощь.",9.572621e-05,0.9998745,2.975261e-05
13,13,"Первое знакомство... Вход в ИБ без ввода СМС, проведение операций без смс - успешно.",0.8691859,0.1303348,0.00047929594
14,14,С недавних пор в офисе играет приятная музыка.,0.0001349393,0.9998369,2.8126298e-05
15,15,"25 сентября 2015 года я воспользовался рекламным советом ""Удобно и быстро оплачивайте ЖКХ"" на главной странице Сбербанка и, чтобы ""не стоять в очередях"", решил оплатить квитанции со своей карточки через ""Сбербанк Онлайн"".",0.9986959,0.0001855236,0.0011186181
16,16,"Открыли счет,дали карту Халва(кстати реально удобная вещь,кэшбэк 6% )подключили наш магазин как партнеров к Халве(клиентов прибавилось),а еще теперь у нас и эквайринг от Совкомбанка.",0.0014373295,0.99851257,5.0114784e-05
17,17,"То звука не было, сотрудницы номера выкрикивали, теперь вообще сломалось... До этого была выломанная дверная ручка на двери в кассу, и сотрудники видимо уже давно махнули на это все, терпят.",5.2844927e-05,2.302329e-05,0.9999242
18,18,"Все очень смахивает на мошенническую схему: банк хочет заработать лишние деньги с клиентов на пенях и штрафах, одобряя реструктуризацию, а потом делая вид, что никакого одобрения не было или банк просто передумал и не торопится активировать программу реструктуризации, придумывая массу отговорок!",4.6246252e-05,2.3299584e-05,0.9999305
19,19,"Толком не начав пользоваться услугами ситибанка, банк уже оставил негативное впечатление!",4.6312336e-05,2.9582172e-05,0.99992406
20,20,"На диалог не идут, сразу кидают трубку.",4.562604e-05,2.7408421e-05,0.9999269
21,21,"не могут решить любой простой вопрос, бесконечно можно висеть на телефоне, переводят из отдела в отдел со словами ""это не наша проблема"", потом вообще вызов завершается... каждого ""специалиста"" приходится ждать по 5 и более минут и никто не в курсе, что случилось.2.",3.8963895e-05,2.6940026e-05,0.9999341
22,22,"Ни звонка, ни сообщения, просто отказ молча.",4.070139e-05,2.8095681e-05,0.9999312
23,23,"Знаю, что в других банкоматах такая услуга есть, а теперь и в ""Инвесте"" - спасибо!",0.0004367692,0.9995192,4.3991742e-05
24,24,На сайте банк рекламирует отличные условия по совместной карте с Аэрофлотом.,0.00012304315,0.99981505,6.195814e-05
25,25,"Этот офис находится рядом с моим домом, поэтому он оптимален для меня.",0.9994267,0.00042154366,0.0001517351
26,26,"Эта организация, вопреки всем законам и здравому смыслу просто терроризирует меня телефонными звонками.",6.489877e-05,2.833755e-05,0.9999068
27,27,"В тот момент мне как раз надоело ежемесячно покупать проездной в метро и, я поразмышляв, пришёл к выводу что карта с функцией БОП это удобно (это сейчас всю идею испоганили).",0.0005544449,0.00010604042,0.9993395
28,28,"27.07 ""посчастливилось"" побывать в Россельхозбанке в отделении по адресу: ул. Франко Ивана, д. 8.",0.0003923359,3.7488524e-05,0.9995702
29,29,Благодарим Вас за обращение в ПАО Сбербанк от 20.02.2016.,0.9994512,0.00030203903,0.00024678922
30,30,Прошу выполнять обязательства по отправленным СМС в полном объеме!,0.00015635934,3.6595018e-05,0.99980706
31,31,"зала некомпетентны и ЧАСТО ЗАБЫВАЮТ, ЧТО ПЕРЕД НИМИ КЛИЕНТ БАНКА.",4.843813e-05,2.270423e-05,0.99992883
32,32,"Я обратилась в Рос банк и хочу сказать спасибо за то, как профессионально и качественно работает с клиентами Ксения Г-кая , такое редко встречается- вежливость и чувство такта, грамотность , разъяснения нюансов.",5.06268e-05,0.9998902,5.9138227e-05
33,33,Со своей стороны тоже сделал приятное банку : составил и отправил заявления в Роспотребнадзор и ЦБ РФ.,8.935326e-05,2.474544e-05,0.9998859
34,34,"Вообщем я в шоке от сотрудников данного отделения, абсолютная не клиентоориентированность,  ведут себя не профессионально.",4.1496653e-05,3.1522843e-05,0.9999269
35,35,"Отличный сервис,  очень оперативно ответили и быстро решили проблему👍🏼 Большое спасибо  Александру К. за оказанную помощь, все доступно и понятно объяснил, оформил запрос, был очень приветлив   ☺️",4.6792153e-05,0.9999125,4.0678824e-05
36,36,И еще почему Ваши операторы автоматически подключают платные услуги в виде смс банка и об этом не говорят ни слова!,4.2523392e-05,2.698503e-05,0.9999305
37,37,"Отдельно: я был максимально вежлив, корректен.",6.008196e-05,0.9999027,3.7182133e-05
38,38,"Когда платил взнос, зашел написал заявление на интернет-банкинг и мог через инет контролировать сколько и когда надо вносить, там задавал много глупых вопросов супорту (есть такая функция там), на все мне нормально отвечали в течение дня-суток.",7.622568e-05,0.99989545,2.8327097e-05
39,39,"который, как я выяснила ранее, мою карту не видят!!!",9.823125e-05,2.4288469e-05,0.99987745
40,40,"Хочу сказать, что иметь потребкредит в Райффайзенбанке это комфортно.",0.00015364109,0.999798,4.836256e-05
41,41,Я являюсь клиентом нескольких банков и такого безобразного сервиса не встречала!,6.7073066e-05,2.5554977e-05,0.9999074
42,42,"В 2014 года пошла массированная атака со стороны нескольких коллекторских служб с ужасными угрозами, судами, волосы на голове вставали дыбом.",0.000115396484,3.0399111e-05,0.9998542
43,43,просто взяли и заблокировали счет!,7.1092225e-05,2.6006697e-05,0.99990284
44,44,"Хочу поблагодарить Александра и Алексея за отличную работу, грамотное,  профессиональное отношение к своему делу.",4.182149e-05,0.99989855,5.9573456e-05
45,45,"Очень не доволен Сбербанком, пора переходить на обслуживание в другой банк.",4.6602636e-05,3.192407e-05,0.99992144
46,46,"Полнейшее неуважение к клиентам, причем писала повторное обращение, чтобы ответили, когда будет рассмотрено в конце концов, прислали отписку - "" Указанное обращение находится на рассмотрении.",5.1412055e-05,2.2790844e-05,0.99992573
47,47,"Произошла такая ситуация, сегодня обнаруживаю в приложение телекард 2.0 неизвестную карту,на которую я заявку не подавал и выпущена в другом регионе где я уже не проживаю лет так несколько.",5.727474e-05,2.2093325e-05,0.9999206
48,48,В результате их неквалифицированных ответов клиент несет реальные финансовые потери!!!,5.1938725e-05,2.5085574e-05,0.999923
49,49,Хороший и удобный сервис - благодарю Александру!,5.1283652e-05,0.9999075,4.11948e-05
50,50,"Пожалуйста, не отвечайте на него.",9.4410294e-05,2.6663267e-05,0.9998789
51,51,У меня положительное отношение к этому банку.,6.293982e-05,0.99988806,4.893159e-05
52,52,"Отвратительная горячая линия, они могут только посмотреть статус моей заявки.4.",4.910006e-05,2.6589794e-05,0.9999243
53,53,"Но в банке только ""кормят обещаниями"" рассмотрении моего заявления, обещали рассмотреть его в течение 30 дней, а прошло уже 4 месяца (сейчас октябрь 2016), и моя кредитная история по-прежнему испорчена, и средства, которые банк повторно удержал с моей карты, мне так и не вернули.",4.3490003e-05,2.451336e-05,0.99993205
54,54,Спасибо за хорошее отношение к клиентам!,4.721178e-05,0.99990535,4.747745e-05
55,55,"В августе обратилась уже в отделение на Пушкина, 54, сотрудник сказала, что они карты не закрывают вообще и не умеют этого  делать, что нужно обратиться на Тази Гиззата, спросила про доплату/переплату, сотрудник сказала, что ничего довносить не нужно и переплаты нет.",0.020494308,0.0003133436,0.9791924
56,56,"Мне ответили, что отключить услугу не могут!",0.00015239137,3.4391724e-05,0.99981326
57,57,Это не банк это просто какая-то контора.,4.2679287e-05,2.7667307e-05,0.99992967
58,58,Спасибо Вам за понимание и оперативность!,5.2350162e-05,0.9999064,4.128041e-05
59,59,"С учетом бонуса 1,5% за пополнение через межбанковский перевод получается выгодно.",0.00015541866,0.9998104,3.4258494e-05
60,60,После звонка в контактный центр все было мгновенно налажено и в течение сентября-ноября автоплатеж четко выполнялся.,8.747492e-05,0.9998871,2.5352569e-05
61,61,"ОАО ""Сбербанк России"" обеспечивает необходимый уровень безопасности операций.",0.00014576713,0.9997727,8.149205e-05
62,62,"Как всегда, помониторил цены на нескольких сайтах агрегаторов.",0.9992287,0.0005709351,0.00020035819
63,63,Человеку с идеальной кредитной историей!!),0.99954057,0.00033174292,0.00012770084
64,64,"Я хочу выразить благодарность Колюка Евгении, которая оказала профессиональную консультацию по кредиту, рассказала мне о всех моих возможностях и наиболее выгодных моментах, которые я могу учитывать при погашении кредита.",4.43216e-05,0.9999045,5.118846e-05
65,65,"Поведение считаю хамским, в отделение сбербанка я пришла получить «услугу», которую сбербанк предоставляет, времени на меня потратили – 3 минуты.",4.327924e-05,2.6576945e-05,0.99993014
66,66,"Полный игнор, и то, что я сообщила, что собираюсь общаться в суд, он ответил: ""Че со мной судиться будете?""...",4.9791084e-05,2.2504646e-05,0.99992764
67,67,"В итоге может сложиться ощущение, что все очень плохо.",0.00014203039,3.2582204e-05,0.9998254
68,68,К просьбам клиента относятся с пониманием и внимательно обрабатывают документы.,7.765669e-05,0.9998876,3.466649e-05
69,69,"Все вопросы (включая: подключение кредита, овердрафта) рассматриваются дистанционно, через чат, что значимо экономит время и позволяет полагаться, как на своего надежного Партнёра, который выручит всегда и везде.",8.314941e-05,0.99988675,3.0035071e-05
70,70,"Пожалуйста, не отвечайте на него.",9.4410294e-05,2.6663267e-05,0.9998789
71,71,"Прочитала весь договор кредитования, заявление о страховании, в целом все устроило, плюс милая девушка, которая убедила, что со Сбербанк-страхованием проблем с отказом от страховки не будет, ну и конечно сработало, что страхование оформлено в подразделении Сбербанка.",5.941105e-05,0.9999038,3.684479e-05
72,72,"Сейчас перевожу в СДМ заработную плату, снимаю, как правило, в офисе на Тушинской - там есть парковка и много банкоматов, которые работают исправно.",0.00010027777,0.99987483,2.4860074e-05
73,73,Требую разобраться с отвратительной работой сотрудников данного отделения и вернуть мне мои 35000 рублей!!!!,4.537868e-05,2.6075042e-05,0.9999286
74,74,"мы бегом в этот же день всё заплатили, всё продлили, принесли в банк эту страховку, и нам девушка консультант сказала, что сегодня же переделаем %ставку и всё будет как раньше.",0.9986854,0.00028479812,0.0010297651
75,75,"Сотрудники Тинкова были оооочень удивлены, что номер я не меняла и с картой ничего не делала .... Тем не менее, карта моя живет своей жизнью (завтра ее получит другой человек на себя) , моя карта заблокирована, а никто мне помочь не может.",5.9228965e-05,2.7020553e-05,0.9999137
76,76,"Вообще, идея подать в мировой суд по упрощенной схеме мое дело говорит о том, что человек, клиент для СБ - настолько как песчинка, что индивидуальный подход =0!",0.00012645357,2.777872e-05,0.99984574
77,77,Девочки мне всё доступно объяснили и рассчитали.,5.6216257e-05,0.9999112,3.259047e-05
78,78,Настоящий профессионал своего дела.,0.00011579136,0.9998122,7.19421e-05
79,79,"Когда я ознакомилась с условиями договора, я пришла в ужас .",0.00019505752,4.4995115e-05,0.99976
80,80,"Общение проходило сегодня в Краснопресненском отделении (удобнее, т.к. рядом с работой).",0.99960047,0.00024525842,0.00015437204
81,81,"Очень приятно, что в Тинькофф Банке работают такие квалифицированные сотрудники.",5.412164e-05,0.9998956,5.024713e-05
82,82,"Впервые вижу, чтобы ТАК наплевательски относились к людям... Там можно сидеть часами в очереди, а сотрудники игнорируют посетителей и занимаются своими какими–то делами.",4.1367643e-05,2.6985887e-05,0.9999317
83,83,На данный момент услуга СМС -Инфо у Вас активна.,0.9994849,0.00038925136,0.00012576391
84,84,"Мое мнение, что это самый ужасный банк с не регламентированными сроками при обращении и некомпетентными сотрудниками.",4.595529e-05,2.9402941e-05,0.99992466
85,85,"Управляющая отделением вообще ничего не знает и говорит, что не разбирается в юридических лицах и не знает законодательства!",4.2993004e-05,2.4947665e-05,0.99993205
86,86,"Лично моё мнение, система специально не работает, т.к банк не зарабатывает на переводах.",6.7332396e-05,3.6404843e-05,0.9998963
87,87,"Мне на это равнодушно заявили, что типа это Ваше дело и т.п. В общем, не дали, электричество я не купил, а сейчас оно стоит в 3 раза дороже... Разочарован.",5.0858045e-05,2.4961559e-05,0.9999242
88,88,Но до сих пор никто со мной не связался!,4.5043653e-05,2.6635842e-05,0.99992836
89,89,"Представилась вежливо, как надо.",7.480553e-05,0.99989724,2.7835073e-05
90,90,Особая благодарность  Владиславе.,5.3875658e-05,0.9999074,3.879238e-05
91,91,"Было 2 менеджера, они обслуживали клиентов и я был поражен их терпением и доброжелательностью, т.к один клиент вообще был невыносим, истерил, угрожал.",0.0009558035,0.990825,0.008219199
92,92,"Каким-то совершенно случайнейшим образом я дозвонилась все же до кассы, и тут мне сказали, что не могут мне помочь.",5.3270298e-05,2.6692554e-05,0.99992
93,93,"Клиентоориентированность, отладка и управление процессами - на высшем уровне.",5.442988e-05,0.99988794,5.761691e-05
94,94,к нам никто не приехал и даже не позвонил!,4.4151533e-05,2.7683074e-05,0.9999281
95,95,"Нашел отделение работающее в субботу, написал БУМАЖНОЕ заявление, вслед получил СМС- «Ваше обращение №210320-0322-166400 от 20.03.2021 принято в работу.",0.9943469,0.00034509276,0.0053080204
96,96,"Как вообще можно доверять деньги банку в котором работают сотрудники, которые из двух элементарных операций косячат в обеих!?!",5.1896834e-05,2.6152144e-05,0.9999219
97,97,Очень разочарован обманом такого известного банка.,4.4437882e-05,2.868704e-05,0.9999269
98,98,"Никто ничего не знает, не видит , а деньги на счете не отображаются и до адресата не дошли!",4.3422817e-05,2.3742174e-05,0.9999329
99,99,Наплевательское отношение абсолютно!,5.6484307e-05,2.463732e-05,0.9999188
100,100,"Считаю, что это наглость, так как это 100% оплошность банка!",5.114733e-05,2.7050577e-05,0.9999218
101,101,Отвратительное отношение к своей работе и к своим клиентам у сотрудников Сбербанка по г. Томску.,5.4828713e-05,3.1145177e-05,0.99991405
102,102,С ноября и до сегодняшнего дня мы не можем решить эту проблему!!!!!,5.7657347e-05,2.4231593e-05,0.9999181
103,103,Очень удобна услуга телефонный банк.,6.80517e-05,0.99990046,3.1445743e-05
104,104,"31 января еще раз позвонила на горячую линию - меня соединили опять с девушкой, которая принимала заявку в отделении на Павелецкой (спасибо, я и без горячей линии могла с ней связаться).",0.9509055,0.04860342,0.0004910828
105,105,"Пользуюсь активно, мили трачу регулярно, пользуюсь другими банковскими услугами.",6.84256e-05,0.9999019,2.9663244e-05
106,106,"Я безумно рад, что такой банк есть в нашей стране.",7.935773e-05,2.8508553e-05,0.9998921
107,107,"Обратилась в ВТБ, отказали в информации о платеже т.к. платеж поступает не на мой счет, также отказались соединять с сотрудниками, которые занимаются сопровождением ипотечных сделок Дом.рф.",6.505428e-05,2.677275e-05,0.9999082
108,108,Столкнулся с ужасной работой данного банка.,5.4144988e-05,3.186716e-05,0.99991393
109,109,"Крайне редко пишу положительные отзывы, но тут что-то навеяло на меня))) плюс хорошее настроение))Итак, я являюсь клиентом банка не первый год и уже выучил все сильные и слабые стороны.",0.00012708738,0.9998281,4.4862092e-05
110,110,"Весь день я пыталась дозвониться, но безуспешно, звонки просто сбрасываются.",4.807598e-05,2.6981303e-05,0.9999249
111,111,Хочу выразить большую благодарность сотруднику Вадиму в отделении Альфа-банка на Смирновской улице в г. Люберцы.,4.76842e-05,0.9999057,4.6555124e-05
112,112,"Все очень быстро, понятно и просто, не создавая пафоса и величия.",8.296803e-05,0.999887,3.008691e-05
113,113,"Отличный банк, внимательные сотрудники, так держать!",5.635181e-05,0.99989533,4.8279388e-05
114,114,"Знаете, такое ощущение, что тебя обманули, предали и кинули.",8.105019e-05,2.5145297e-05,0.9998938
115,115,"Каким образом и на каком основании банк в одностороннем порядке открыл мне ещё два счета -сотрудники банка объяснить не могут,они не видят их в программе,не могут закрыть из-за технической ошибки.",4.0157778e-05,2.6982598e-05,0.9999329
116,116,Был удивлён что привезут за 4 дня и курьером.,0.9992071,0.0004150498,0.00037797418
117,117,Сотрудник был грамотным в плане устного общения и знания продуктов.,5.6912522e-05,0.9999039,3.922493e-05
118,118,"Обязанности по оформлению и соответствующей регистрации закладной в пользу ПАО ""Сбербанк России"" мной выполнены в полном объеме.",0.9995192,0.00026437672,0.0002163735
119,119,Даже если потребуется обратиться в суд. Вот такой прекрасный первый опыт сотрудничества с Банком!,0.0001625878,3.728647e-05,0.99980015
120,120,"Оставил претензию, через 2 дня прислали ответ, что сотрудница которая рекомендовала адреса будет ужасно наказана и т.д. и т.п. В общем отвратительный неклиентоориентированный банк, зачем нужна горячая линия банка, если там только консультируют клиента по общим вопросам, не производят никаких действий и даже не проводят идентификацию клиентов.",3.944078e-05,2.579244e-05,0.9999348
121,121,"Три раза оформлял пакеты документов у Яны О., при этом получал ответы на любые интересующие вопросы как по линейкам интересующих продуктов, так и по элементам дистанционного обслуживания.",8.6607055e-05,0.99988234,3.098052e-05
122,122,"Но мне об этом никто не сказал, более того, получается банк (в лице менеджера) меня обманул?",4.7760146e-05,2.382047e-05,0.99992836
123,123,"Очень важный для момент, что не приходится самому контролировать всякие отчисления, банк сам вовремя напомнит и подготовит платежки, в один клик можно их оплатить.",7.508572e-05,0.99988306,4.1821477e-05
124,124,"В сентябре закончился период у предыдущей карты и я приехал в офис на Тургеневской в конце месяца заказать её перевыпуск, на что мне было сказано, что ещё рано - приезжайте в первых числах следующего месяца.",8.752559e-05,2.507504e-05,0.99988735
125,125,Никто не звонит и не задает глупых вопросов!,5.2103962e-05,7.671462e-05,0.99987113
126,126,"Например, 23.12.2019 минут поступил звонок с номера 7 922 *** 59 **, с просьбой передать информацию по долгу, несмотря на то, что я всегда беру трубку и 23.12.2019 в 18:50 так же был телефонный разговор с банком.",0.9992999,0.0002898262,0.00041027652
127,127,"Тинькофф - самый лояльный банк, исходя из моего опыта.",7.627616e-05,0.9998814,4.2344986e-05
128,128,"Все ок-обещали 30.10 доставить, 30 смс-выдача карты задерживается, что когда-без сроков.",0.0001347952,2.7495664e-05,0.99983764
129,129,"Очень приятная девушка, профессионально всё объяснила, оставила мобильный телефон и пригласила по звонку в офис за получением карты (чего раньше никогда не было).",5.9523147e-05,0.9999082,3.229915e-05
130,130,"Хочу отметить, что являюсь клиентом не единственного банка, такое ужасное отношение только в этом банке!",6.52029e-05,5.5401666e-05,0.99987936
131,131,"Вот и думайте, если для банка даже предписания из суда пшик, то что уж говорить, если речь может зайти о ваших потерянных средствах, картах и прочем, не то что правды не добиться, информацию даже получить невозможно!",4.535424e-05,2.302368e-05,0.9999316
132,132,"Отдельно благодарю, сотрудника сбора, Сергея, который работал со мной на протяжении долгого времени и сотрудника Клиентского центра, Ирину, за её терпение и доброжелательность.P.S.",4.902005e-05,0.9999081,4.2879536e-05
133,133,"Вчера решила пополнить карту через терминал, на 4000 руб. терминал завис и выдал сбой, не зачислив деньги на карту и не вернув их!",5.6947614e-05,2.3489683e-05,0.99991953
134,134,"На что мне ответили, что это уже хамство и она дала официальный комментарий устно, письменно отвечать не будет и бросила трубку.",4.297295e-05,2.4110539e-05,0.9999329
135,135,Обслуживанием всегда был доволен.,5.2215368e-05,0.99991274,3.5098124e-05
136,136,"Лично моё мнение, система специально не работает, т.к банк не зарабатывает на переводах.",6.7332396e-05,3.6404843e-05,0.9998963
137,137,"Со мной встретился представитель банка - Илья (фамилии не помню, к сожалению) - очень приятный молодой человек, который весьма неплохо информирован о продуктах, тарифах и условиях банка.",7.778777e-05,0.9998909,3.125109e-05
138,138,В общем сплошной обман и дезинформация.,4.21541e-05,2.7298123e-05,0.9999305
139,139,(а еще все дали справки без проблем - законы соблюдают.,5.661059e-05,0.99990416,3.916786e-05
140,140,"Хуже я не видел нигде, даже в сбербанке лучше - максимум ожидания 15 минут!",6.1648956e-05,3.243412e-05,0.99990594
141,141,"Еще раз огромное спасибо Алексей,процветания и успехов вам в вашем нелёгком труде.",5.345043e-05,0.9998988,4.779491e-05
142,142,"Никому не советую этот банк, если не хотите таких проблем, как у меня.",3.9851566e-05,3.1313193e-05,0.99992883
143,143,"Я являюсь  постоянным клиентом Почта Банка, приехала сделать платеж по своей кредитной карте в офис по адресу г. Александров, улица Ленина д.7, там такие девчонки приветливые работают, рада всегда идти в этот банк, так как они бегут на встречу, как будто ждут именно меня))) В очередной раз они меня удивили и поразили:  рассказали мне, как можно оплачивать мою карту через мобильное приложение, в любой точке мира, сотрудница помогла установить на телефон приложение, но какую-то интересную версию, рассказав о том, что в ней больше преимуществ, я любезно согласилась.",9.260603e-05,0.9998616,4.5734145e-05
144,144,"Почему дистанционно оформляете продукты абсолютно не информируя об этом клиентов, а потом ещё цинично звонят из кц «оцените наш сервис».",3.8135426e-05,3.0360723e-05,0.99993145
